"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"fides_area";"area";"area_bis";"tac_area_description";"comments";"X";"X.1";"area_rdb"
"61";"North Sea and Eastern Arctic";"Tope";"Galeorhinus galeus";"ICES";NA;"GAG";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"62";"North Sea and Eastern Arctic";"Witch flounder";"Glyptocephalus cynoglossus";"ICES";NA;"WIT,L/W";"2AC4-C";"3a, 4";"27_3_A,27_4";"";"FIDES match but difference with area";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w"
"63";"North Sea and Eastern Arctic";"Blue-mouth rockfish";"Helicolenus dactylopterus";"ICES";NA;"BRF";"No TAC";"4";"27_4";"";"FIDES code stands for both Microstomus kitt and Glyptocephalus cynoglossus";NA;NA;"27.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w"
"64";"North Sea and Eastern Arctic";"Four-spot megrim";"Lepidorhombus boscii";"ICES";NA;"LDB";"No TAC";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";"";NA;NA;"27.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"65";"North Sea and Eastern Arctic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";NA;"MEG";"No TAC";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";"";NA;NA;"27.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"66";"North Sea and Eastern Arctic";"Megrim";"Lepidorhombus spp.";"ICES";NA;"LEZ";"2AC4-C";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";"FIDES match (area <)�; added row for information at gender level";NA;NA;"27.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"67";"North Sea and Eastern Arctic";"Cuckoo ray";"Leucoraja naevus";"ICES";NA;"RJN";"03A-C.,2AC4-C";"3a, 4";"27_3_A,27_4";"";"FIDES match (area <)";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w"
"68";"North Sea and Eastern Arctic";"Dab";"Limanda limanda";"ICES";NA;"DAB";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"69";"North Sea and Eastern Arctic";"Black-bellied angler";"Lophius budegassa";"ICES";NA;"ANK";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"FIDES match (area <)";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"70";"North Sea and Eastern Arctic";"Anglerfish";"Lophius piscatorius";"ICES";NA;"MON";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"FIDES match (area <)";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"71";"North Sea and Eastern Arctic";"Anglerfish";"Lophius spp.";"ICES";NA;"ANF,MNZ";"2AC4-C,04-N.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"Extra row with MNZ standing for Lophius spp. and FIDES code standing for lophiidae";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"72";"North Sea and Eastern Arctic";"Roughhead grenadier";"Macrourus berglax";"ICES";NA;"RHG";"No TAC";"4";"27_4";"EU and international waters of I-II and IV";"";NA;NA;"27.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w"
"73";"North Sea and Eastern Arctic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD";"03A.,2AC4.";"3a, 4";"27_3_A,27_4";"IIIa) and EU waters of IIIbcd";"FIDES match (area <)";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w"
"74";"North Sea and Eastern Arctic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG";"03A.,2AC4.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"FIDES match (area <)";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"75";"North Sea and Eastern Arctic";"Hake";"Merluccius merluccius";"ICES";NA;"HKE";"03A.,2AC4.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"EC waters of IIa) and IV";"FIDES match (area <)";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"76";"North Sea and Eastern Arctic";"Blue whiting";"Micromesistius poutassou";"ICES";NA;"WHB";"1X14";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"FIDES match (area <)";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"77";"North Sea and Eastern Arctic";"Lemon sole";"Microstomus kitt";"ICES";NA;"LEM,L/W";"2AC4-C";"4, 7d";"27_4,27_7_D";"";"FIDES code stands for both Microstomus kitt and Glyptocephalus cynoglossus";NA;NA;"27.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
