"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"fides_area";"area";"area_bis";"tac_area_description";"comments";;
"North Sea and Eastern Arctic";"Brill";"Scophthalmus rhombus";"ICES";;"BLL";"2AC4-C";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"EC waters of IIa) and IV";"FIDES match but difference with area";;
"North Sea and Eastern Arctic";"Lesser-spotted dogfish";"Scyliorhinus canicula";"ICES";;"SYC";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";;;;
"North Sea and Eastern Arctic";"Sole";"Solea solea";"ICES";;"SOL";"3ABC24,24-C.";"Union waters of 2a, 3a and 4";"27_2_A,27_3_A,27_4";;"FIDES match";;
"North Sea and Eastern Arctic";"Sole";"Solea solea";"ICES";;"SOL";"07D.";"7d";"27_7_D";;"FIDES match";;
"North Sea and Eastern Arctic";"Sprat";"Sprattus sprattus";"ICES";;"SPR";"03A.,2AC4-C";"Union waters of 2a, 3a and 4";"27_2_A,27_3_A,27_4";"IIIa)";"FIDES match";;
"North Sea and Eastern Arctic";"Sprat";"Sprattus sprattus";"ICES";;"SPR";"7DE.";"7d";"27_7_D";"VIId)e)";"FIDES match but difference with area";;
"North Sea and Eastern Arctic";"Picked dogfish";"Squalus acanthias";"ICES";;"DGS";"15X14";"All areas";"27_3_A,27_4,27_7_D";;"FIDES match";;
"North Sea and Eastern Arctic";"Horse mackerel";"Trachurus trachurus";"ICES";;"JAX";"4BC7D";"Union waters of 4b, 4c and 7d";"27_4_B,27_4_C,27_7_D";"NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures";"FIDES match";;
"North Sea and Eastern Arctic";"Tub gurnard";"Trigla lucerna";"ICES";;"GUU";"No TAC";4;"27_4";;;;
"North Sea and Eastern Arctic";"Norway pout";"Trisopterus esmarki";"ICES";;"NOP";"2A3A4_Q1";"3a, 4";"27_3_A,27_4";"IIIa,   EU waters of IIa and IV, IIIa,  EC waters of IIa and IV";"FIDES match but difference with area";;
"North Sea and Eastern Arctic";"John Dory";"Zeus faber";"ICES";;"JOD";"No TAC";"4, 7d";"27_4,27_7_D";;;;
"North-East Atlantic";"Queen scallop";"Aequipecten opercularis";"ICES";;"QSC";"No TAC";7;"27_7";;;;
